DATE,DESCRIPTION,AMOUNT,CARD MEMBER,CATEGORY
12/06/2025,SHELL OIL 574102,61.22,M CHEN,
12/02/2025,AMAZON.COM*RT4G92,61.02,M CHEN,
12/06/2025,AMAZON.COM*RT4G92,60.32,M CHEN,
12/10/2025,AMAZON.COM*RT4G92,89.09,M CHEN,
12/14/2025,AMAZON.COM*RT4G92,86.89,M CHEN,
12/18/2025,AMAZON.COM*RT4G92,69.32,M CHEN,
12/02/2025,TARGET T-1290,109.08,M CHEN,
12/06/2025,TARGET T-1290,109.64,M CHEN,
12/10/2025,TARGET T-1290,105.75,M CHEN,
12/02/2025,CVS PHARMACY #4471,52.80,M CHEN,
12/06/2025,CVS PHARMACY #4471,44.06,M CHEN,
12/02/2025,MAIN STREET PHARMACY,33.18,M CHEN,
12/02/2025,PETCO 1123,62.22,M CHEN,
12/02/2025,HOME DEPOT #6612,135.38,M CHEN,
12/02/2025,UNITED AIRLINES 0162,508.80,M CHEN,
12/02/2025,MARRIOTT HOTELS,244.47,M CHEN,
01/02/2026,SAFEWAY #1842,175.83,M CHEN,
01/06/2026,SAFEWAY #1842,127.74,M CHEN,
01/10/2026,SAFEWAY #1842,166.70,M CHEN,
01/14/2026,SAFEWAY #1842,113.47,M CHEN,
01/18/2026,SAFEWAY #1842,182.33,M CHEN,
01/22/2026,SAFEWAY #1842,167.00,M CHEN,
01/02/2026,COSTCO WHSE #0431,251.97,M CHEN,
01/06/2026,COSTCO WHSE #0431,244.29,M CHEN,
01/02/2026,TRADER JOES #221,88.90,M CHEN,
01/06/2026,TRADER JOES #221,94.52,M CHEN,
01/10/2026,TRADER JOES #221,103.68,M CHEN,
01/02/2026,STARBUCKS STORE 09112,13.57,M CHEN,
01/06/2026,STARBUCKS STORE 09112,9.64,M CHEN,
01/10/2026,STARBUCKS STORE 09112,11.45,M CHEN,
01/14/2026,STARBUCKS STORE 09112,11.11,M CHEN,
01/18/2026,STARBUCKS STORE 09112,10.41,M CHEN,
01/22/2026,STARBUCKS STORE 09112,11.73,M CHEN,
01/02/2026,TST* CORNER BAKERY DOWNTOWN,38.14,M CHEN,
01/06/2026,TST* CORNER BAKERY DOWNTOWN,45.34,M CHEN,
01/02/2026,DOORDASH ORDER,56.17,M CHEN,
01/06/2026,DOORDASH ORDER,64.21,M CHEN,
01/10/2026,DOORDASH ORDER,57.42,M CHEN,
01/02/2026,CHEVRON 00934521,71.83,M CHEN,
01/06/2026,CHEVRON 00934521,71.42,M CHEN,
01/10/2026,CHEVRON 00934521,68.52,M CHEN,
01/14/2026,CHEVRON 00934521,71.58,M CHEN,
01/02/2026,SHELL OIL 574102,57.18,M CHEN,
01/06/2026,SHELL OIL 574102,52.62,M CHEN,
01/02/2026,AMAZON.COM*RT4G92,78.54,M CHEN,
01/06/2026,AMAZON.COM*RT4G92,81.06,M CHEN,
01/10/2026,AMAZON.COM*RT4G92,74.34,M CHEN,
01/14/2026,AMAZON.COM*RT4G92,88.79,M CHEN,
01/18/2026,AMAZON.COM*RT4G92,58.59,M CHEN,
01/02/2026,TARGET T-1290,95.31,M CHEN,
01/06/2026,TARGET T-1290,106.27,M CHEN,
01/10/2026,TARGET T-1290,79.04,M CHEN,
01/02/2026,CVS PHARMACY #4471,43.38,M CHEN,
01/06/2026,CVS PHARMACY #4471,54.63,M CHEN,
01/02/2026,MAIN STREET PHARMACY,33.01,M CHEN,
01/02/2026,PETCO 1123,56.73,M CHEN,
01/02/2026,HOME DEPOT #6612,97.57,M CHEN,
01/02/2026,UNITED AIRLINES 0162,497.00,M CHEN,
01/02/2026,MARRIOTT HOTELS,304.86,M CHEN,
02/02/2026,SAFEWAY #1842,124.31,M CHEN,
02/06/2026,SAFEWAY #1842,181.93,M CHEN,
02/10/2026,SAFEWAY #1842,160.29,M CHEN,
02/14/2026,SAFEWAY #1842,114.56,M CHEN,
02/18/2026,SAFEWAY #1842,127.46,M CHEN,
02/22/2026,SAFEWAY #1842,162.11,M CHEN,
02/02/2026,COSTCO WHSE #0431,200.76,M CHEN,
02/06/2026,COSTCO WHSE #0431,242.19,M CHEN,
02/02/2026,TRADER JOES #221,73.28,M CHEN,
02/06/2026,TRADER JOES #221,95.68,M CHEN,
02/10/2026,TRADER JOES #221,104.45,M CHEN,
02/02/2026,STARBUCKS STORE 09112,9.45,M CHEN,
02/06/2026,STARBUCKS STORE 09112,10.94,M CHEN,
02/10/2026,STARBUCKS STORE 09112,9.21,M CHEN,
02/14/2026,STARBUCKS STORE 09112,9.64,M CHEN,
02/18/2026,STARBUCKS STORE 09112,12.07,M CHEN,
02/22/2026,STARBUCKS STORE 09112,10.51,M CHEN,
02/02/2026,TST* CORNER BAKERY DOWNTOWN,37.31,M CHEN,
02/06/2026,TST* CORNER BAKERY DOWNTOWN,32.32,M CHEN,
02/02/2026,DOORDASH ORDER,65.35,M CHEN,
02/06/2026,DOORDASH ORDER,62.52,M CHEN,
02/10/2026,DOORDASH ORDER,67.36,M CHEN,
02/02/2026,CHEVRON 00934521,64.95,M CHEN,
02/06/2026,CHEVRON 00934521,55.18,M CHEN,
02/10/2026,CHEVRON 00934521,63.10,M CHEN,
02/14/2026,CHEVRON 00934521,53.46,M CHEN,
02/02/2026,SHELL OIL 574102,49.37,M CHEN,
02/06/2026,SHELL OIL 574102,61.83,M CHEN,
02/02/2026,AMAZON.COM*RT4G92,79.57,M CHEN,
02/06/2026,AMAZON.COM*RT4G92,68.94,M CHEN,
02/10/2026,AMAZON.COM*RT4G92,59.17,M CHEN,
02/14/2026,AMAZON.COM*RT4G92,85.05,M CHEN,
02/18/2026,AMAZON.COM*RT4G92,56.10,M CHEN,
02/02/2026,TARGET T-1290,76.73,M CHEN,
02/06/2026,TARGET T-1290,70.94,M CHEN,
02/10/2026,TARGET T-1290,74.70,M CHEN,
02/02/2026,CVS PHARMACY #4471,52.97,M CHEN,
02/06/2026,CVS PHARMACY #4471,50.28,M CHEN,
02/02/2026,MAIN STREET PHARMACY,27.96,M CHEN,
02/02/2026,PETCO 1123,72.04,M CHEN,
02/02/2026,HOME DEPOT #6612,129.04,M CHEN,
02/02/2026,UNITED AIRLINES 0162,467.32,M CHEN,
02/02/2026,MARRIOTT HOTELS,302.75,M CHEN,
03/02/2026,SAFEWAY #1842,122.74,M CHEN,
03/06/2026,SAFEWAY #1842,162.06,M CHEN,
03/10/2026,SAFEWAY #1842,165.49,M CHEN,
03/14/2026,SAFEWAY #1842,159.61,M CHEN,
03/18/2026,SAFEWAY #1842,162.99,M CHEN,
03/22/2026,SAFEWAY #1842,121.96,M CHEN,
03/02/2026,COSTCO WHSE #0431,237.42,M CHEN,
03/06/2026,COSTCO WHSE #0431,192.65,M CHEN,
03/02/2026,TRADER JOES #221,111.61,M CHEN,
03/06/2026,TRADER JOES #221,71.52,M CHEN,
03/10/2026,TRADER JOES #221,99.55,M CHEN,
03/02/2026,STARBUCKS STORE 09112,13.31,M CHEN,
03/06/2026,STARBUCKS STORE 09112,10.84,M CHEN,
03/10/2026,STARBUCKS STORE 09112,10.41,M CHEN,
03/14/2026,STARBUCKS STORE 09112,14.63,M CHEN,
03/18/2026,STARBUCKS STORE 09112,9.66,M CHEN,
03/22/2026,STARBUCKS STORE 09112,11.55,M CHEN,
03/02/2026,TST* CORNER BAKERY DOWNTOWN,41.83,M CHEN,
03/06/2026,TST* CORNER BAKERY DOWNTOWN,33.82,M CHEN,
03/02/2026,DOORDASH ORDER,61.56,M CHEN,
03/06/2026,DOORDASH ORDER,43.09,M CHEN,
03/10/2026,DOORDASH ORDER,53.59,M CHEN,
03/02/2026,CHEVRON 00934521,57.32,M CHEN,
03/06/2026,CHEVRON 00934521,64.93,M CHEN,
03/10/2026,CHEVRON 00934521,83.24,M CHEN,
03/14/2026,CHEVRON 00934521,66.43,M CHEN,
03/02/2026,SHELL OIL 574102,47.96,M CHEN,
03/06/2026,SHELL OIL 574102,50.69,M CHEN,
03/02/2026,AMAZON.COM*RT4G92,72.85,M CHEN,
03/06/2026,AMAZON.COM*RT4G92,72.65,M CHEN,
03/10/2026,AMAZON.COM*RT4G92,73.74,M CHEN,
03/14/2026,AMAZON.COM*RT4G92,66.22,M CHEN,
03/18/2026,AMAZON.COM*RT4G92,61.13,M CHEN,
03/02/2026,TARGET T-1290,75.23,M CHEN,
03/06/2026,TARGET T-1290,77.10,M CHEN,
03/10/2026,TARGET T-1290,66.84,M CHEN,
03/02/2026,CVS PHARMACY #4471,39.44,M CHEN,
03/06/2026,CVS PHARMACY #4471,40.77,M CHEN,
03/02/2026,MAIN STREET PHARMACY,31.12,M CHEN,
03/02/2026,PETCO 1123,64.62,M CHEN,
03/02/2026,HOME DEPOT #6612,135.68,M CHEN,
03/02/2026,UNITED AIRLINES 0162,469.63,M CHEN,
03/02/2026,MARRIOTT HOTELS,275.96,M CHEN,
04/02/2026,SAFEWAY #1842,169.37,M CHEN,
04/06/2026,SAFEWAY #1842,167.54,M CHEN,
04/10/2026,SAFEWAY #1842,140.09,M CHEN,
04/14/2026,SAFEWAY #1842,153.12,M CHEN,
04/18/2026,SAFEWAY #1842,139.63,M CHEN,
04/22/2026,SAFEWAY #1842,115.03,M CHEN,
04/02/2026,COSTCO WHSE #0431,216.10,M CHEN,
04/06/2026,COSTCO WHSE #0431,201.20,M CHEN,
04/02/2026,TRADER JOES #221,109.70,M CHEN,
04/06/2026,TRADER JOES #221,95.76,M CHEN,
04/10/2026,TRADER JOES #221,105.54,M CHEN,
04/02/2026,STARBUCKS STORE 09112,11.91,M CHEN,
04/06/2026,STARBUCKS STORE 09112,10.35,M CHEN,
04/10/2026,STARBUCKS STORE 09112,9.72,M CHEN,
04/14/2026,STARBUCKS STORE 09112,13.84,M CHEN,
04/18/2026,STARBUCKS STORE 09112,14.48,M CHEN,
04/22/2026,STARBUCKS STORE 09112,13.03,M CHEN,
04/02/2026,TST* CORNER BAKERY DOWNTOWN,39.69,M CHEN,
04/06/2026,TST* CORNER BAKERY DOWNTOWN,40.86,M CHEN,
04/02/2026,DOORDASH ORDER,48.46,M CHEN,
04/06/2026,DOORDASH ORDER,60.80,M CHEN,
04/10/2026,DOORDASH ORDER,41.20,M CHEN,
04/02/2026,CHEVRON 00934521,57.69,M CHEN,
04/06/2026,CHEVRON 00934521,74.99,M CHEN,
04/10/2026,CHEVRON 00934521,78.40,M CHEN,
04/14/2026,CHEVRON 00934521,67.91,M CHEN,
04/02/2026,SHELL OIL 574102,51.82,M CHEN,
04/06/2026,SHELL OIL 574102,61.20,M CHEN,
04/02/2026,AMAZON.COM*RT4G92,66.16,M CHEN,
04/06/2026,AMAZON.COM*RT4G92,71.52,M CHEN,
04/10/2026,AMAZON.COM*RT4G92,60.81,M CHEN,
04/14/2026,AMAZON.COM*RT4G92,60.63,M CHEN,
04/18/2026,AMAZON.COM*RT4G92,91.91,M CHEN,
04/02/2026,TARGET T-1290,103.28,M CHEN,
04/06/2026,TARGET T-1290,87.74,M CHEN,
04/10/2026,TARGET T-1290,83.90,M CHEN,
04/02/2026,CVS PHARMACY #4471,42.25,M CHEN,
04/06/2026,CVS PHARMACY #4471,43.62,M CHEN,
04/02/2026,MAIN STREET PHARMACY,30.15,M CHEN,
04/02/2026,PETCO 1123,65.70,M CHEN,
04/02/2026,HOME DEPOT #6612,115.20,M CHEN,
04/02/2026,UNITED AIRLINES 0162,476.63,M CHEN,
04/02/2026,MARRIOTT HOTELS,342.10,M CHEN,
05/02/2026,SAFEWAY #1842,123.98,M CHEN,
05/06/2026,SAFEWAY #1842,167.74,M CHEN,
05/10/2026,SAFEWAY #1842,144.37,M CHEN,
05/14/2026,SAFEWAY #1842,177.31,M CHEN,
05/18/2026,SAFEWAY #1842,134.27,M CHEN,
05/22/2026,SAFEWAY #1842,122.05,M CHEN,
05/02/2026,COSTCO WHSE #0431,190.78,M CHEN,
05/06/2026,COSTCO WHSE #0431,225.22,M CHEN,
05/02/2026,TRADER JOES #221,114.36,M CHEN,
05/06/2026,TRADER JOES #221,98.86,M CHEN,
05/10/2026,TRADER JOES #221,85.24,M CHEN,
05/02/2026,STARBUCKS STORE 09112,11.68,M CHEN,
05/06/2026,STARBUCKS STORE 09112,14.91,M CHEN,
05/10/2026,STARBUCKS STORE 09112,9.65,M CHEN,
05/14/2026,STARBUCKS STORE 09112,13.79,M CHEN,
05/18/2026,STARBUCKS STORE 09112,11.42,M CHEN,
05/22/2026,STARBUCKS STORE 09112,12.57,M CHEN,
05/02/2026,TST* CORNER BAKERY DOWNTOWN,32.60,M CHEN,
05/06/2026,TST* CORNER BAKERY DOWNTOWN,42.37,M CHEN,
05/02/2026,DOORDASH ORDER,57.01,M CHEN,
05/06/2026,DOORDASH ORDER,57.26,M CHEN,
05/10/2026,DOORDASH ORDER,50.73,M CHEN,
05/02/2026,CHEVRON 00934521,71.57,M CHEN,
05/06/2026,CHEVRON 00934521,65.63,M CHEN,
05/10/2026,CHEVRON 00934521,65.72,M CHEN,
05/14/2026,CHEVRON 00934521,59.45,M CHEN,
05/02/2026,SHELL OIL 574102,46.60,M CHEN,
05/06/2026,SHELL OIL 574102,69.98,M CHEN,
05/02/2026,AMAZON.COM*RT4G92,83.94,M CHEN,
05/06/2026,AMAZON.COM*RT4G92,79.34,M CHEN,
05/10/2026,AMAZON.COM*RT4G92,69.02,M CHEN,
05/14/2026,AMAZON.COM*RT4G92,87.08,M CHEN,
05/18/2026,AMAZON.COM*RT4G92,83.27,M CHEN,
05/02/2026,TARGET T-1290,84.09,M CHEN,
05/06/2026,TARGET T-1290,85.61,M CHEN,
05/10/2026,TARGET T-1290,86.59,M CHEN,
05/02/2026,CVS PHARMACY #4471,48.00,M CHEN,
05/06/2026,CVS PHARMACY #4471,36.17,M CHEN,
05/02/2026,MAIN STREET PHARMACY,27.36,M CHEN,
05/02/2026,PETCO 1123,51.97,M CHEN,
05/02/2026,HOME DEPOT #6612,136.80,M CHEN,
05/02/2026,UNITED AIRLINES 0162,474.73,M CHEN,
05/02/2026,MARRIOTT HOTELS,263.03,M CHEN,
06/02/2026,SAFEWAY #1842,124.29,M CHEN,
06/06/2026,SAFEWAY #1842,157.48,M CHEN,
06/10/2026,SAFEWAY #1842,146.29,M CHEN,
06/14/2026,SAFEWAY #1842,145.67,M CHEN,
06/18/2026,SAFEWAY #1842,147.39,M CHEN,
06/22/2026,SAFEWAY #1842,148.49,M CHEN,
06/02/2026,COSTCO WHSE #0431,197.73,M CHEN,
06/06/2026,COSTCO WHSE #0431,212.05,M CHEN,
06/02/2026,TRADER JOES #221,91.70,M CHEN,
06/06/2026,TRADER JOES #221,87.84,M CHEN,
06/10/2026,TRADER JOES #221,77.22,M CHEN,
06/02/2026,STARBUCKS STORE 09112,10.09,M CHEN,
06/06/2026,STARBUCKS STORE 09112,12.60,M CHEN,
06/10/2026,STARBUCKS STORE 09112,10.58,M CHEN,
06/14/2026,STARBUCKS STORE 09112,12.85,M CHEN,
06/18/2026,STARBUCKS STORE 09112,14.94,M CHEN,
06/22/2026,STARBUCKS STORE 09112,12.03,M CHEN,
06/02/2026,TST* CORNER BAKERY DOWNTOWN,46.87,M CHEN,
06/06/2026,TST* CORNER BAKERY DOWNTOWN,36.67,M CHEN,
06/02/2026,DOORDASH ORDER,65.61,M CHEN,
06/06/2026,DOORDASH ORDER,65.62,M CHEN,
06/10/2026,DOORDASH ORDER,52.02,M CHEN,
06/02/2026,CHEVRON 00934521,69.73,M CHEN,
06/06/2026,CHEVRON 00934521,74.95,M CHEN,
06/10/2026,CHEVRON 00934521,68.35,M CHEN,
06/14/2026,CHEVRON 00934521,66.51,M CHEN,
06/02/2026,SHELL OIL 574102,75.39,M CHEN,
06/06/2026,SHELL OIL 574102,58.66,M CHEN,
06/02/2026,AMAZON.COM*RT4G92,65.10,M CHEN,
06/06/2026,AMAZON.COM*RT4G92,64.69,M CHEN,
06/10/2026,AMAZON.COM*RT4G92,69.39,M CHEN,
06/14/2026,AMAZON.COM*RT4G92,62.47,M CHEN,
06/18/2026,AMAZON.COM*RT4G92,89.31,M CHEN,
06/02/2026,TARGET T-1290,106.87,M CHEN,
06/06/2026,TARGET T-1290,104.86,M CHEN,
06/10/2026,TARGET T-1290,100.88,M CHEN,
06/02/2026,CVS PHARMACY #4471,35.03,M CHEN,
06/06/2026,CVS PHARMACY #4471,56.61,M CHEN,
06/02/2026,MAIN STREET PHARMACY,31.80,M CHEN,
06/02/2026,PETCO 1123,52.38,M CHEN,
06/02/2026,HOME DEPOT #6612,131.68,M CHEN,
06/02/2026,UNITED AIRLINES 0162,479.94,M CHEN,
06/02/2026,MARRIOTT HOTELS,344.57,M CHEN,
07/02/2026,SAFEWAY #1842,123.16,M CHEN,
07/06/2026,SAFEWAY #1842,184.89,M CHEN,
07/10/2026,SAFEWAY #1842,179.66,M CHEN,
07/14/2026,SAFEWAY #1842,161.85,M CHEN,
07/18/2026,SAFEWAY #1842,162.47,M CHEN,
07/22/2026,SAFEWAY #1842,150.57,M CHEN,
07/02/2026,COSTCO WHSE #0431,166.51,M CHEN,
07/06/2026,COSTCO WHSE #0431,205.13,M CHEN,
07/02/2026,TRADER JOES #221,93.24,M CHEN,
07/06/2026,TRADER JOES #221,83.51,M CHEN,
07/10/2026,TRADER JOES #221,70.05,M CHEN,
07/02/2026,STARBUCKS STORE 09112,12.10,M CHEN,
07/06/2026,STARBUCKS STORE 09112,11.04,M CHEN,
07/10/2026,STARBUCKS STORE 09112,13.70,M CHEN,
07/14/2026,STARBUCKS STORE 09112,12.85,M CHEN,
07/18/2026,STARBUCKS STORE 09112,12.88,M CHEN,
07/22/2026,STARBUCKS STORE 09112,13.93,M CHEN,
07/02/2026,TST* CORNER BAKERY DOWNTOWN,45.61,M CHEN,
07/06/2026,TST* CORNER BAKERY DOWNTOWN,37.38,M CHEN,
07/02/2026,DOORDASH ORDER,53.58,M CHEN,
07/06/2026,DOORDASH ORDER,53.76,M CHEN,
07/10/2026,DOORDASH ORDER,57.10,M CHEN,
07/02/2026,CHEVRON 00934521,69.21,M CHEN,
07/06/2026,CHEVRON 00934521,82.53,M CHEN,
07/10/2026,CHEVRON 00934521,51.12,M CHEN,
07/14/2026,CHEVRON 00934521,61.18,M CHEN,
07/02/2026,SHELL OIL 574102,67.78,M CHEN,
07/06/2026,SHELL OIL 574102,47.43,M CHEN,
07/02/2026,AMAZON.COM*RT4G92,60.64,M CHEN,
07/06/2026,AMAZON.COM*RT4G92,57.58,M CHEN,
07/10/2026,AMAZON.COM*RT4G92,61.15,M CHEN,
07/14/2026,AMAZON.COM*RT4G92,85.90,M CHEN,
07/18/2026,AMAZON.COM*RT4G92,89.38,M CHEN,
07/02/2026,TARGET T-1290,105.31,M CHEN,
07/06/2026,TARGET T-1290,93.29,M CHEN,
07/10/2026,TARGET T-1290,84.84,M CHEN,
07/02/2026,CVS PHARMACY #4471,44.08,M CHEN,
07/06/2026,CVS PHARMACY #4471,56.59,M CHEN,
07/02/2026,MAIN STREET PHARMACY,36.44,M CHEN,
07/02/2026,PETCO 1123,74.27,M CHEN,
07/02/2026,HOME DEPOT #6612,123.33,M CHEN,
07/02/2026,UNITED AIRLINES 0162,473.11,M CHEN,
07/02/2026,MARRIOTT HOTELS,238.80,M CHEN,
